"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Coleson","Abel","Left","FB",84.29064,3.25236,1.33649,5.36491,-0.26685,3.88236,4.46436,11.21647,-30.86069,2.11333297,-5.201154467,1.289504735,0.4808145872,2372.428511,201.6392209,NA,12:45:00,2023-07-26,12:08:52.60
"Coleson","Abel","Left","FB",85.41855,2.61797,-0.95482,5.11308,-1.08143,4.01978,-2.12647,13.8844,-26.28365,-0.07161440197,-5.134705052,0.3190255619,-0.3200599158,2274.279392,171.3130894,0.6511998206,11:45:00,2023-08-04,11:03:09.25
"Coleson","Abel","Left","FB",84.91879,1.07643,0.19244,5.15758,-0.74454,4.17897,-3.68627,19.97222,-20.90037,0.6276507107,-6.308120803,1.310069915,-2.461626928,2184.46692,169.5514304,0.6566008212,11:45:00,2023-08-04,11:02:35.53
"Coleson","Abel","Left","FB",81.22837,3.23576,0.40831,5.65046,-2.23412,4.8376,3.9815,8.78836,-35.38538,3.174845424,-5.959480737,2.439137444,0.5635932973,2147.457045,204.2681834,0.4633728443,12:45:00,2023-07-12,11:01:05.83
"Coleson","Abel","Left","FB",86.36293,1.62907,-0.82934,5.1881,-0.86471,NA,-2.21448,18.79509,-23.1159,-0.1740726696,-5.817006724,0.2250499873,-1.670346532,2240.089861,173.2897596,0.7098488321,11:45:00,2023-08-04,11:02:19.46
"Coleson","Abel","Left","FB",85.03008,0.76192,-1.02348,5.10528,-0.93253,4.32546,-11.85288,16.54851,-24.14036,-1.258238104,-6.918472854,0.9469175086,-2.460370092,2119.80512,144.4083107,0.8683622234,10:45:00,2023-08-04,11:02:03.42
"Coleson","Abel","Left","FB",80.86881,3.12777,0.10491,5.66369,-2.04108,4.57881,-3.55065,11.46445,-33.69984,1.910402079,-5.914391988,2.56528284,0.2860601394,2298.494945,162.8618558,NA,11:30:00,2023-07-12,11:00:44.94
"Coleson","Abel","Left","FB",81.39234,3.0008,0.56756,5.70978,-2.28761,4.7358,3.33997,9.552,-34.42686,3.32892643,-6.146470136,2.714668337,0.1684155027,2057.963774,199.1854374,0.5732166837,12:45:00,2023-07-12,10:58:40.65
"Coleson","Abel","Left","FB",80.58085,4.27765,0.28446,5.59779,-2.34489,4.72201,0.83215,9.67814,-34.73346,2.84838403,-4.688176261,2.696275772,1.657039177,2229.073275,184.8928978,NA,12:15:00,2023-07-12,10:57:16.96
"Coleson","Abel","Left","FB",80.45257,3.84219,0.94159,5.67188,-2.08503,4.53089,1.35669,10.87749,-35.03453,3.307293262,-5.308427694,3.057240508,1.142898936,2264.797118,187.0771159,0.4937282634,12:15:00,2023-07-12,10:56:50.06
"Coleson","Abel","Left","FB",86.21621,2.38421,0.48384,5.09281,-0.76756,4.0167,-1.05644,19.72981,-19.91689,1.211700068,-4.757002264,1.406143361,-1.100850607,2248.682915,176.9403893,0.7044965654,12:00:00,2023-08-04,11:08:17.30
"Coleson","Abel","Left","FB",86.05237,0.10931,-0.04617,5.12914,-0.62153,4.43367,-11.28318,16.54887,-22.9734,-0.4962702243,-7.517758536,1.603262075,-3.280925333,2186.450644,145.7040795,0.7976849706,10:45:00,2023-08-04,11:08:32.36
"Coleson","Abel","Left","FB",85.91837,2.40792,0.1672,5.07146,-0.86126,4.04914,-6.30269,19.92591,-20.06114,0.4693177608,-4.732934983,1.631923651,-1.041465396,2311.613858,162.4763023,0.8119037637,11:30:00,2023-08-04,11:07:58.93
"Coleson","Abel","Left","FB",84.90261,2.90171,-1.89215,5.18683,-0.84532,4.04023,-4.50428,19.57703,-21.56912,-1.538511085,-4.492849778,-0.7053213657,-0.512257681,2197.267479,167.0655534,0.7507475453,11:30:00,2023-08-04,11:03:27.34
"Coleson","Abel","Left","FB",85.42246,1.32294,-0.36264,5.13742,-0.83454,4.36601,-10.59516,18.81144,-21.29657,-0.5371786851,-6.089937071,1.431463863,-2.15389925,2264.236098,150.6313942,0.6333433599,11:00:00,2023-08-04,11:02:52.01
"Heath","Andrews","Right","FB",88.4469,2.74123,0.92091,4.94633,1.55954,5.14603,0.81851,15.88586,-20.3173,-0.6037067154,-4.366599287,-0.7578336986,-0.548898675,2353.307345,182.943818,0.7445068153,12:00:00,2023-09-07,16:54:14.15
"Heath","Andrews","Right","FB",89.98467,1.71843,-1.54588,5.01396,1.72712,4.84661,-1.44402,9.76697,-25.29536,-3.6252284,-5.938104056,-3.357624584,-1.263856889,2208.943016,171.6284158,0.6444261156,11:45:00,2023-09-07,16:51:31.66
"Heath","Andrews","Right","FB",89.33729,0.59913,-0.77523,5.08313,1.48809,5.10997,2.30849,10.66038,-24.46758,-2.199342138,-7.143373175,-2.62938253,-2.615240845,2323.498972,192.1914193,0.6820279809,12:30:00,2023-09-07,16:52:37.99
"Heath","Andrews","Right","FB",89.66295,1.56608,-2.17136,5.05217,1.66808,5.02148,-2.17767,10.49536,-24.68121,-4.311465722,-6.09734105,-3.906905643,-1.525050275,2316.124306,168.3365115,0.65719382,11:30:00,2023-09-07,16:52:20.51
"Heath","Andrews","Right","FB",90.68664,3.15454,0.35337,4.818,1.75906,5.00526,5.01634,11.1066,-23.29964,-1.011589596,-4.054544357,-1.949516128,0.2973030322,2335.724281,204.2372794,0.7250583745,12:45:00,2023-09-07,16:52:02.79
